提交时间,分数,状态,题目,编译器,内存,用时,提交者,详情
2025/04/19 17:27:29,答案错误,0,L3-3,Python (python3),2860 KB,29 ms,GPLT20250419**********,查看
2025/04/19 17:21:59,答案错误,0,L3-3,Python (python3),3056 KB,25 ms,GPLT20250419**********,查看
2025/04/19 17:20:03,答案错误,0,L3-3,Python (python3),2996 KB,29 ms,GPLT20250419**********,查看
2025/04/19 17:19:07,部分正确,18,L3-2,Python (python3),44992 KB,400 ms,GPLT20250419**********,查看
2025/04/19 16:57:28,部分正确,2,L3-1,Python (python3),43520 KB,400 ms,GPLT20250419**********,查看
2025/04/19 16:38:31,部分正确,14,L2-4,Python (python3),3004 KB,400 ms,GPLT20250419**********,查看
2025/04/19 16:18:59,部分正确,15,L2-3,Python (python3),8732 KB,300 ms,GPLT20250419**********,查看
2025/04/19 16:07:45,部分正确,15,L2-2,Python (python3),9276 KB,2000 ms,GPLT20250419**********,查看
2025/04/19 15:44:39,部分正确,16,L1-7,Python (python3),3020 KB,400 ms,GPLT20250419**********,查看
2025/04/19 15:44:31,多种错误,0,L1-7,Python (python3),2876 KB,400 ms,GPLT20250419**********,查看
2025/04/19 15:44:02,部分正确,16,L1-7,Python (python3),2888 KB,400 ms,GPLT20250419**********,查看
2025/04/19 15:43:56,部分正确,16,L1-7,Python (python3),3024 KB,400 ms,GPLT20250419**********,查看
2025/04/19 15:43:47,部分正确,14,L1-7,Python (python3),3028 KB,400 ms,GPLT20250419**********,查看
2025/04/19 15:43:38,部分正确,14,L1-7,Python (python3),3064 KB,400 ms,GPLT20250419**********,查看
2025/04/19 15:43:31,部分正确,14,L1-7,Python (python3),3016 KB,400 ms,GPLT20250419**********,查看
2025/04/19 15:43:22,部分正确,14,L1-7,Python (python3),3056 KB,400 ms,GPLT20250419**********,查看
2025/04/19 15:43:13,部分正确,14,L1-7,Python (python3),3016 KB,400 ms,GPLT20250419**********,查看
2025/04/19 15:35:53,部分正确,17,L2-1,Python (python3),2880 KB,400 ms,GPLT20250419**********,查看
2025/04/19 15:30:55,部分正确,15,L2-1,Python (python3),3044 KB,26 ms,GPLT20250419**********,查看
2025/04/19 15:30:06,非零返回,0,L2-1,Python (python3),3036 KB,25 ms,GPLT20250419**********,查看
2025/04/19 15:27:27,部分正确,15,L2-1,Python (python3),3036 KB,24 ms,GPLT20250419**********,查看
2025/04/19 15:10:56,部分正确,15,L1-8,Python (python3),43348 KB,1000 ms,GPLT20250419**********,查看
2025/04/19 14:59:42,部分正确,16,L1-7,Python (python3),3000 KB,400 ms,GPLT20250419**********,查看
2025/04/19 14:49:25,部分正确,9,L1-6,Python (python3),11048 KB,400 ms,GPLT20250419**********,查看
2025/04/19 14:40:07,多种错误,0,L1-6,Python (python3),11232 KB,400 ms,GPLT20250419**********,查看
2025/04/19 14:25:36,答案正确,15,L1-5,Python (python3),2908 KB,18 ms,GPLT20250419**********,查看
2025/04/19 13:50:04,答案正确,10,L1-4,Python (python3),3008 KB,24 ms,GPLT20250419**********,查看
2025/04/19 13:45:48,答案正确,10,L1-3,Python (python3),3024 KB,22 ms,GPLT20250419**********,查看
2025/04/19 13:34:32,答案正确,5,L1-2,Python (python3),3012 KB,15 ms,GPLT20250419**********,查看
2025/04/19 13:30:38,答案正确,5,L1-1,Python (python3),2744 KB,15 ms,GPLT20250419**********,查看